ID,District,Sub-District,Village,School,Level,Latitude,Longitude
1,Togdheer,Burco,Yiroowe,Yiroowe Primary School,Primary,9.42880,45.67483
2,Togdheer,Burco,Ina-Afmadoobe,Ina-Afmadoobe Primary School,Primary,9.14581,45.95422
3,Togdheer,Burco,Yucubyabooh,Yucubyabooh Primary School,Primary,8.49642,45.53036
4,Togdheer,Burco,Duruqsi,Duruqsi Primary School,Primary,8.52026,45.46471
5,Togdheer,Burco,Harada-Gubataxil,Harada-Gubataxil Primary School,Primary,8.78558,45.46736
6,Togdheer,Burco,Cali Ciise,Cali Ciise Primary School,Primary,8.47165,45.59792
7,Togdheer,Burco,Koosaar,Koosaar Primary School,Primary,9.58094,45.52378
8,Togdheer,Burco,Dhagah-dheer,Dhagah-dheer Primary School,Primary,8.58275,45.76894
9,Togdheer,Burco,Qoryaale,Qoryaale Primary School,Primary,9.07181,45.96692
10,Togdheer,Burco,Shanshacade,Shanshacade Primary School,Primary,8.65992,45.93025
11,Togdheer,Burco,Balidhiig,Balidhiig Primary School,Primary,8.36853,45.92042
12,Togdheer,Burco,Dhoqoshay,Dhoqoshay Primary School,Primary,8.50672,45.71611
13,Togdheer,Burco,Qoyta,Qoyta Primary School,Primary,9.68597,45.44222
14,Togdheer,Burco,War Cimraan,War-Cimraan Primary School,Primary,8.80675,45.88711
15,Togdheer,Burco,Balihiile,Balihiile Primary School,Primary,9.18125,45.58361
16,Togdheer,Burco,Geedihaan,Geedihaan Primary School,Primary,9.02925,45.65719
17,Togdheer,Burco,Coodanle,Coodanle Primary School,Primary,8.32917,46.03333
18,Togdheer,Burco,Gorayo-Xunta-Hoose ,Gorayo-Xunta-Hoose Primary School,Primary,8.61347,45.33333
19,Togdheer,Burco,Bali Calanle,Bali Calanle Primary School,Primary,8.54673,45.97600
20,Togdheer,Burco,Waraabeeye ,Waraabeeye Primary School,Primary,8.87247,45.57300
21,Togdheer,Burco,Bilcille,Bilcille Primary School,Primary,8.56200,45.58400
22,Togdheer,Oodweyne ,Hara-sheekh,Hara-sheekh Primary School,Primary,9.31592,44.75533
23,Togdheer,Oodweyne ,Oodweyne,Harag-Waafi Primary School,Primary,9.40467,45.14767
24,Togdheer,Oodweyne ,Caasha-Cado,Caasha-Cado Primary School,Primary,9.40131,45.01675
25,Togdheer,Oodweyne ,Xaaji-Saalax,Xaaji-Saalax Primary School,Primary,8.59587,45.24113
26,Togdheer,Oodweyne ,Dabogorayaale,Dabogorayaale Primary School,Primary,8.73419,44.82228
27,Togdheer,Oodweyne ,Qudhac-Kudle,Qudhac-Kudle Primary School,Primary,9.02322,45.13875
28,Togdheer,Oodweyne ,Gocondhaale,Gocondhaale Primary School,Primary,8.69797,44.92806
29,Togdheer,Oodweyne ,Xaydaale,Xaydaale Primary School,Primary,8.91642,44.78714
30,Togdheer,Oodweyne ,Galoolay,Galoolay Primary School,Primary,9.46947,44.90022
31,Togdheer,Oodweyne ,Cabdi Faarax,Cabdi Faarax Primary School,Primary,9.18681,44.98289
32,Togdheer,Oodweyne ,Laan-Mullaaxo,Laan-Mullaaxo Primary School,Primary,8.62531,45.14864
33,Togdheer,Buuhoodle,Buuhoodle,Imamu-Shaafi Primary School,Primary,8.23250,46.32500
34,Togdheer,Buuhoodle,Sool-Joogto,Sool-Joogto Primary Schoolol,Primary,8.43222,46.31972
35,Togdheer,Buuhoodle,Hadhadhan,Hadhadhan Primary School,Primary,8.29056,46.14917
36,Sool,Caynabo,Waadaamago',Goosarad Primary School,Primary,8.93049,46.26990
37,Sool,Caynabo,Higlo,Higlo Primary School,Primary,9.09841,46.08756
38,Sool,Caynabo,Ulasan,Ulasan Primary School,Primary,9.02566,46.08756
39,Sool,Caynabo,Kiridh,Kiridh Primary School,Primary,8.98117,46.13256
40,Sool,Caynabo,Caynabo,Ayaanle Primary School,Primary,8.95697,46.40622
41,Sool,Caynabo,Habari-heshay,Habari-heshay Primary School,Primary,8.84506,46.40328
42,Sool,Caynabo,Gadh-gumreed,Gadh-gumreed Primary School,Primary,9.26467,46.37758
43,Sool,Caynabo,Tukub,Tukub Primary School,Primary,9.14081,45.48189
44,Sool,Caynabo,Badweyn,Badweyn Primary School,Primary,8.99753,46.65733
45,Sool,Caynabo,Barwaaqo,Barwaaqo Primary School,Primary,9.01906,46.48436
46,Sool,Caynabo,Waridaad,Waridaad Primary School,Primary,9.28636,46.25289
47,Sool,Caynabo,Oog,Oog Primary School,Primary,8.93231,46.62269
48,Sool,Lascaanood,Laascaanood,Laascaanood Primary School,Primary,8.48250,47.35472
49,Sool,Lascaanood,Kalabaydh,Baaraan Primary School,Primary,8.24056,47.23028
50,Sool,Lascaanood,Karin-Dabayl-Wayn,Karin-Dabayl-Wayn Primary School,Primary,8.11278,47.54194
51,Sool,Lascaanood,Qabribayax,Qabribayax Primary School,Primary,8.11278,47.54194
52,Sool,Lascaanood,Laascaanood,Wadajir Primary School,Primary,8.47278,47.36111
53,Sool,Lascaanood,Laascaanood,Abyan Primary School,Primary,8.47111,47.35333
54,Sool,Xudun,Xudun,Imaamu-Shaafici Primary School,Primary,9.15583,47.47556
55,Sool,Xudun,Lafaweyne ,Lafaweyne Primary School,Primary,9.15139,47.22917
56,Sanaag,Ceerigaabo,Yufle,Yufle Primary School,Primary,10.37017,47.19928
57,Sanaag,Ceerigaabo,Marawade,Marawade Primary School,Primary,10.70786,47.42444
58,Sanaag,Ceerigaabo,Yubbe,Yubbe Primary School,Primary,10.74803,47.92525
59,Sanaag,Ceerigaabo,Shimbiraale,Shimbiraale Primary School,Primary,10.13603,47.90814
60,Sanaag,Ceerigaabo,Maydh,Maydh Primary School,Primary,11.00306,47.11314
61,Sanaag,Ceerigaabo,Rugay,Rugay Primary School,Primary,10.84617,47.30650
62,Sanaag,Ceerigaabo,Durdur,Durdur Primary School,Primary,10.22475,47.42842
63,Sanaag,Ceerigaabo,Goof,Goof Primary School,Primary,10.16875,47.55678
64,Sanaag,Ceerigaabo,Jiidali,Jiidali Primary School,Primary,10.69892,47.66786
65,Sanaag,Ceerigaabo,Booda-Cade,Booda-Cade Primary School,Primary,9.88017,47.66590
